Academic Year,Degree Type,Record Type,Count
1994-1995,Total,Degrees,27015
1995-1996,Certificate,Degrees,240
1995-1996,Associate,Degrees,8614
1995-1996,Baccalaureate,Degrees,12448
1995-1996,Master's,Degrees,5606
1995-1996,Advance Certificate,Degrees,297
1995-1996,J.D.,Degrees,144
1995-1996,Master of Philosophy,Degrees,195
1995-1996,PhD,Degrees,302
1995-1996,Total,Degrees,27846
1996-1997,Certificate,Degrees,259
1996-1997,Associate,Degrees,9305
1996-1997,Baccalaureate,Degrees,13607
1996-1997,Master's,Degrees,5279
1996-1997,Advance Certificate,Degrees,287
1996-1997,J.D.,Degrees,146
1996-1997,Master of Philosophy,Degrees,260
1996-1997,PhD,Degrees,310
1996-1997,Total,Degrees,29453
1997-1998,Certificate,Degrees,220
1997-1998,Associate,Degrees,8995
1997-1998,Baccalaureate,Degrees,13105
1997-1998,Master's,Degrees,5243
1997-1998,Advance Certificate,Degrees,309
1997-1998,J.D.,Degrees,137
1997-1998,Master of Philosophy,Degrees,279
1997-1998,PhD,Degrees,333
1997-1998,Total,Degrees,28621
1998-1999,Certificate,Degrees,173
1998-1999,Associate,Degrees,9128
1998-1999,Baccalaureate,Degrees,13301
1998-1999,Master's,Degrees,5352
1998-1999,Advance Certificate,Degrees,309
1998-1999,J.D.,Degrees,120
1998-1999,Master of Philosophy,Degrees,158
1998-1999,PhD,Degrees,277
1998-1999,Total,Degrees,28818
1999-2000,Certificate,Degrees,171
1999-2000,Associate,Degrees,8421
1999-2000,Baccalaureate,Degrees,13331
1999-2000,Master's,Degrees,5331
1999-2000,Advance Certificate,Degrees,263
1999-2000,J.D.,Degrees,130
1999-2000,Master of Philosophy,Degrees,152
1999-2000,PhD,Degrees,280
1999-2000,Total,Degrees,28079
2000-2001,Certificate,Degrees,128
2000-2001,Associate,Degrees,8502
2000-2001,Baccalaureate,Degrees,13592
2000-2001,Master's,Degrees,5903
2000-2001,Advance Certificate,Degrees,281
2000-2001,J.D.,Degrees,96
2000-2001,Master of Philosophy,Degrees,179
2000-2001,PhD,Degrees,250
2000-2001,Total,Degrees,28931
2001-2002,Certificate,Degrees,165
2001-2002,Associate,Degrees,8142
2001-2002,Baccalaureate,Degrees,14185
2001-2002,Master's,Degrees,5897
2001-2002,Advance Certificate,Degrees,292
2001-2002,J.D.,Degrees,127
2001-2002,Master of Philosophy,Degrees,161
2001-2002,PhD,Degrees,271
2001-2002,Total,Degrees,29240
2002-2003,Certificate,Degrees,132
2002-2003,Associate,Degrees,8851
2002-2003,Baccalaureate,Degrees,14607
2002-2003,Master's,Degrees,6401
2002-2003,Advance Certificate,Degrees,375
2002-2003,J.D.,Degrees,131
